Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Application\OwnPlanner.Application.csproj,File,OwnPlanner.Application\OwnPlanner.Application.csproj,,,Microsoft.Extensions.Logging.Abstractions 10.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 10.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Application\OwnPlanner.Application.csproj,File,OwnPlanner.Application\OwnPlanner.Application.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Application.Tests\OwnPlanner.Application.Tests.csproj,File,OwnPlanner.Application.Tests\OwnPlanner.Application.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Console\OwnPlanner.Console.csproj,File,OwnPlanner.Console\OwnPlanner.Console.csproj,,,Microsoft.Extensions.Configuration.Binder 9.0.10,,,,,"Microsoft.Extensions.Configuration.Binder, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Console\OwnPlanner.Console.csproj,File,OwnPlanner.Console\OwnPlanner.Console.csproj,,,Microsoft.Extensions.Logging.Abstractions 10.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 10.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Console\OwnPlanner.Console.csproj,File,OwnPlanner.Console\OwnPlanner.Console.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.10,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Console\OwnPlanner.Console.csproj,File,OwnPlanner.Console\OwnPlanner.Console.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OwnPlanner.Console\OwnPlanner.Console.csproj,File,OwnPlanner.Console\Program.cs,37,4,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,var settings = configuration.Get<AppSettings>() ?? new AppSettings();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Domain\OwnPlanner.Domain.csproj,File,OwnPlanner.Domain\OwnPlanner.Domain.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Domain.Tests\OwnPlanner.Domain.Tests.csproj,File,OwnPlanner.Domain.Tests\OwnPlanner.Domain.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Infrastructure\OwnPlanner.Infrastructure.csproj,File,OwnPlanner.Infrastructure\OwnPlanner.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Infrastructure\OwnPlanner.Infrastructure.csproj,File,OwnPlanner.Infrastructure\OwnPlanner.Infrastructure.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Infrastructure\OwnPlanner.Infrastructure.csproj,File,OwnPlanner.Infrastructure\OwnPlanner.Infrastructure.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Infrastructure.Tests\OwnPlanner.Infrastructure.Tests.csproj,File,OwnPlanner.Infrastructure.Tests\OwnPlanner.Infrastructure.Tests.csproj,,,Microsoft.Data.Sqlite 9.0.0,,,,,"Microsoft.Data.Sqlite, 9.0.0  Recommendation:  Remove Microsoft.Data.Sqlite, and replace with new package Microsoft.Data.Sqlite 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Infrastructure.Tests\OwnPlanner.Infrastructure.Tests.csproj,File,OwnPlanner.Infrastructure.Tests\OwnPlanner.Infrastructure.Tests.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Infrastructure.Tests\OwnPlanner.Infrastructure.Tests.csproj,File,OwnPlanner.Infrastructure.Tests\OwnPlanner.Infrastructure.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Mcp.StdioApp\OwnPlanner.Mcp.StdioApp.csproj,File,OwnPlanner.Mcp.StdioApp\OwnPlanner.Mcp.StdioApp.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.10,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.10  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.5"
